No.,Time,Status,Duration (Seconds),Country,Region,City / Town / District,Section,Gender,Age (years),Height (Inches),Country of Citizenship,Undergraduate Degree,Expected Graduation date,Laptop type,Commuting time (minutes)  to class,Employement status,programming skill in Python 
1,2/19/20 4:11 PM,Completed,666,United States,Virginia,Fairfax,1,M,72,71,USA,Computer Science,May-20,2,20,1,4
2,3/16/20 1:50 PM,Completed,187,United States,Maryland,Gaithersburg,4,M,32,68,USA,Intelligence Operations,Dec-20,1,30,2,2
3,3/16/20 1:52 PM,Completed,134,United States,Virginia,Burke,DL,F,23,65,India,Bachelor's in other courses,May-22,1,30,3,3
4,3/16/20 1:52 PM,Completed,179,United States,Virginia,Fairfax,4,M,26,74,India,Computer Science,Dec-20,1,10,1,4
5,3/16/20 1:52 PM,Completed,239,United States,New Jersey,Manville,DL,M,25,65,India,Electronics,Dec-21,1,20,3,1
6,3/16/20 1:53 PM,Completed,334,United States,Virginia,Ashburn,4,M,23,70,India,Computer Science,Dec-21,1,10,2,3
7,3/16/20 1:53 PM,Completed,367,United States,Virginia,Herndon,1,M,21,70,India,Bachelor's in other courses,May-22,1,10,3,3
8,3/16/20 1:54 PM,Completed,347,United States,Virginia,Fairfax,4,F,27,66,Ukraine,Mathematics,Dec-22,1,50,1,2
9,3/16/20 2:09 PM,Completed,255,United States,Virginia,Stephens City,DL,M,23,66,India,Computer Science,Dec-21,1,20,3,3
10,3/16/20 2:15 PM,Completed,143,United States,Maryland,Rockville,4,F,24,64,India,Bachelor's in other courses,Dec-21,1,30,2,3
12,3/16/20 2:18 PM,Completed,283188,United States,Virginia,Herndon,4,F,28,63,India,Bachelor's in other courses,Dec-21,2,30,3,1
11,3/16/20 2:30 PM,Completed,71,United States,Kentucky,Lexington,DL,M,23,75,USA,Mathematics,May-21,1,30,1,3
14,3/16/20 2:57 PM,Completed,185,United States,Maryland,Baltimore,1,F,27,50,Saudi Arabia,Information Systems,Dec-21,1,50,3,3
13,3/16/20 2:58 PM,Completed,137,United States,Virginia,Fairfax,DL,M,23,69,USA,Computer Science,Mar-20,2,30,1,4
15,3/16/20 3:03 PM,Completed,126,United States,Virginia,Alexandria,1,M,40,70,USA,Surveying Engineering,May-20,1,0,2,3
16,3/16/20 3:04 PM,Completed,169,United States,Virginia,Herndon,DL,M,36,72,India,Bachelor's in other courses,Dec-21,1,30,3,3
17,3/16/20 3:06 PM,Completed,599,United States,California,Rancho Cordova,1,F,23,70,India,Computer Science,May-21,1,20,1,2
18,3/16/20 3:23 PM,Completed,103,United States,Virginia,McLean,4,F,23,63,USA,Information Systems,Dec-21,1,30,1,1
19,3/16/20 3:27 PM,Completed,272,United States,Virginia,Fairfax,1,M,24,69,Taiwan,Business,May-20,1,20,3,2
20,3/16/20 3:28 PM,Completed,214,United States,Virginia,Reston,1,M,23,73,USA,Bachelor's in other courses,Dec-21,1,20,2,1
21,3/16/20 3:40 PM,Completed,223,United States,Virginia,Herndon,1,F,40,65,India,Physics,May-21,1,40,3,1
22,3/16/20 4:08 PM,Completed,736,United States,Virginia,Burke,DL,M,24,67,India,Bachelor's in other courses,Dec-21,1,20,3,2
23,3/16/20 4:25 PM,Completed,209,United States,Virginia,Falls Church,DL,M,22,58,India,Electronics and Media,Dec-21,2,20,3,3
25,3/16/20 7:29 PM,Completed,347,United States,Maryland,Silver Spring,4,F,28,65,Iran,Architectural engineering,May-21,1,40,2,3
26,3/16/20 9:19 PM,Completed,61,United States,Virginia,Fairfax,4,F,24,63,India,Computer Application,Dec-20,1,30,3,2
27,3/17/20 12:06 AM,Completed,249003,United States,Virginia,Fairfax,DL,M,24,68,Taiwan,Management Science,Dec-21,1,20,3,2
28,3/17/20 12:53 AM,Completed,182,United States,Maryland,Hyattsville,DL,M,28,71,Taiwan,Pathway graduate,May-21,2,20,3,2
29,3/17/20 4:23 AM,Completed,135,India,Kerala,Alappuzha,DL,M,28,70,India,Civil engineering,May-22,1,30,2,1
30,3/17/20 6:01 PM,Completed,332,United States,Virginia,Herndon,4,M,34,72,India,Bachelor's in other courses,May-22,2,30,1,2
31,3/17/20 6:15 PM,Completed,100,United States,Virginia,Fairfax,4,M,44,74,USA,Mathematics and German,May-21,1,40,3,3
32,3/18/20 1:59 AM,Completed,115,United States,New Jersey,Belle Mead,1,M,32,72,Pakistan,Bachelor's in other courses,May-21,2,10,3,1
33,3/18/20 10:35 AM,Completed,107,United States,Virginia,Fairfax,1,M,31,69,USA,AIT - Cyber Security,May-22,2,20,1,2
34,3/18/20 6:34 PM,Completed,109,United States,Maryland,Takoma Park,4,M,31,72,Belgium,Business,May-21,1,40,3,1
48,3/19/20 10:25 PM,Completed,202,United States,Virginia,Herndon,1,F,21,64,India,Computer Science,May-21,1,90,1,3
49,3/19/20 10:31 PM,Completed,252,United States,Virginia,Reston,4,F,27,63,USA,Business Administration,May-22,,30,1,1
50,3/19/20 11:44 PM,Completed,264,United States,Washington,Seattle,4,F,22,65,India,Bachelor's in other courses,Dec-22,2,20,1,2
51,3/19/20 11:49 PM,Completed,166,United States,Washington,Seattle,4,M,22,66,India,Electronics and Communication,Dec-22,2,20,3,2
35,3/19/20 8:53 PM,Completed,185,United States,Virginia,Fairfax,1,F,25,67,India,Electronics,Dec-21,2,20,3,1
36,3/19/20 8:53 PM,Completed,185,United States,Virginia,Annandale,1,M,24,68,India,Information Technology,May-21,1,20,2,4
37,3/19/20 8:53 PM,Completed,250,United States,Virginia,Fairfax,1,M,27,66,India,Electronics,Dec-21,1,20,3,2
38,3/19/20 8:55 PM,Completed,195,United States,Virginia,Fairfax,DL,M,21,70,India,Bachelor's in other courses,Dec-21,1,20,2,3
41,3/19/20 8:55 PM,Completed,369,United States,Virginia,Fairfax,4,F,22,55,India,Computer Science,Dec-22,2,120,1,3
